cik,company,date
0000700607,ML VENTURE PARTNERS I L P /DE/,1996-11-01
0000930364,RIDGEWOOD ELECTRIC POWER TRUST IV,1996-10-03
0000801588,PITCAIRN GROUP L P,1996-01-02
0001011845,ALLIED CAPITAL CREDIT CORP,1997-12-30
0001011845,ALLIED CAPITAL CREDIT CORP,1997-12-29
0000737243,ACORN VENTURE CAPITAL CORP,1997-11-04
0000949877,ALLIED CAPITAL MORTGAGE CORP,1997-03-31
0000842893,KAGAN MEDIA PARTNERS L P,1997-03-20
0000799723,PRATT WYLCE & LORDS LTD,1998-11-06
0001049861,GRIFFIN INDUSTRIES INC,1998-10-21
0001001587,ACCESS CAPITAL STRATEGIES COMMUNITY INV FD INC INSTIT INV PO,1998-07-07
0001000240,ACCESS CAPITAL STRATEGIES COMMUNITY INVESTMENT FUND INC,1998-07-01
0001000169,INSTITUTIONAL INVESTOR PORTFOLIO,1998-07-01
0000949882,SHERRY LANE GROWTH FUND INC,1998-03-20
0000003845,ALLIED CAPITAL CORP,1998-01-05
0000850426,ALLIED CAPITAL CORP II,1998-01-05
0000725260,ROCKIES FUND INC,1999-12-13
0001044657,UNIVERSAL BRIDGE FUND INC,1999-11-01
0000944940,WALNUT CAPITAL CORP /DE,1999-11-01
0000942378,WALNUT FINANCIAL SERVICES INC,1999-11-01
0001044658,WALNUT FUNDS INC,1999-11-01
0000746425,JMC GROUP INC,1999-08-30
0000769882,FIRST COLONIAL VENTURES LTD,1999-07-29
0000729209,BOETTCHER VENTURE CAPITAL PARTNERS L P,1999-03-24
0000933166,SIRROM CAPITAL CORP,1999-03-22
0000828847,EQUITABLE CAPITAL PARTNERS L P,1999-01-27
0000829305,EQUITABLE CAPITAL PARTNERS RETIREMENT FUND LP,1999-01-27
0000925677,AMERICAS GROWTH FUND INC,1999-01-21
0000716101,EQUITEX INC,1999-01-04
0000837227,ML OKLAHOMA VENTURE PARTNERS LIMITED PARTNERSHIP,2000-12-29
0000855567,RENAISSANCE CAPITAL PARTNERS LTD,2000-12-26
0001113999,BYZANTINE VENTURES INC,2000-12-20
0000871867,RENAISSANCE CAPITAL PARTNERS II LTD /TX/,2000-11-17
0001022105,PLYMOUTH COMMERCIAL MORTGAGE FUND,2000-03-22
0000890399,CORPORATE RENAISSANCE GROUP INC,2000-02-29
0000841687,FIDUCIARY CAPITAL PARTNERS L P,2001-12-26
0000841688,FIDUCIARY CAPITAL PENSION PARTNERS L P,2001-12-26
0001084415,ORIGIN INVESTMENT GROUP INC,2001-12-14
0000887499,COMMUNITY INVESTMENT PARTNERS II LP,2001-11-13
0001043161,COMMUNITY INVESTMENT PARTNERS III LP LLP,2001-11-13
0000856670,COMMUNITY INVESTMENT PARTNERS LP,2001-09-27
0000789538,ML VENTURE PARTNERS II LP,2001-04-02
0000813343,ML LEE ACQUISITION FUND L P,2001-01-09
0001011843,ALLIED CAPITAL SBLC CORP,2001-01-02
0000924386,RIDGEWOOD ELECTRIC POWER TRUST I,2002-01-10
0000895993,RIDGEWOOD ELECTRIC POWER TRUST II,2002-01-10
0000917032,RIDGEWOOD ELECTRIC POWER TRUST III,2002-01-10
0000843626,EQUUS CAPITAL PARTNERS LP,2003-11-12
0001077800,TECHNEST HOLDINGS INC,2003-10-01
0000826674,GROUP MANAGEMENT CORP,2003-09-08
0001039802,VENTURE LENDING & LEASING II INC,2003-08-21
0001095924,OXBOW FUND LLC,2003-04-30
0001034416,TECHNOLOGY FUNDING VENTURE CAPITAL FUND VI LLC,2003-03-27
0000840334,ML LEE ACQUISITION FUND II L P,2003-03-24
0000843387,ML LEE ACQUISITION FUND RETIREMENT ACCOUNTS II L P,2003-03-24
