cik,company,date,in_universe
0001606657,BUSINESS DEVELOPMENT Corp OF AMERICA II,2016-04-21,False
0001619239,"Credit Suisse Park View BDC, Inc.",2016-09-30,False
0001490013,Full Circle Capital Corp,2016-11-04,False
0001685711,Prospect Credit Corp,2016-12-08,False
0001599750,FS Energy & Power Fund II,2016-12-23,False
0000817473,"AMERICAN CAPITAL, LTD",2017-01-03,False
0000893739,180 DEGREE CAPITAL CORP. /NY/,2017-03-30,False
0001561528,NF Investment Corp.,2017-06-13,False
0001444706,"CROSSROADS CAPITAL, INC.",2017-06-23,False
0001482199,"Venture Lending & Leasing VI, Inc.",2017-09-14,False
0001609336,Griffin Capital BDC Corp.,2017-10-06,False
0001598893,"Integrity Capital Income Fund, Inc.",2017-11-14,False
0001109697,"Encounter Technologies, Inc.",2018-01-03,False
0001000209,MEDALLION FINANCIAL CORP,2018-04-02,False
0001370754,"Special Value Continuation Partners, LP",2018-08-01,False
0000818897,FRESHSTART VENTURE CAPITAL CORP,2018-08-07,False
0000822874,MEDALLION CAPITAL INC,2018-08-07,False
0001581934,"American Capital Senior Floating, Ltd.",2018-09-19,False
0001514183,"Point Capital, Inc.",2018-09-28,False
0001494538,"Corporate Capital Trust, Inc.",2019-04-02,False
0001627515,GOLUB CAPITAL INVESTMENT Corp,2019-09-16,False
0001614173,"SIGULER GUFF SMALL BUSINESS CREDIT OPPORTUNITIES FUND, INC",2019-11-04,False
0001617896,Corporate Capital Trust II,2019-12-18,False
0001579412,FS Investment Corp III,2019-12-18,False
0001637417,FS Investment Corp IV,2019-12-18,False
0001297704,OHA Investment Corp,2019-12-19,False
0001425355,"Mill City Ventures III, Ltd",2019-12-27,False
0001578620,Alcentra Capital Corp,2020-01-31,False
0001626899,"Parkview Capital Credit, Inc.",2020-04-29,False
0001683074,Goldman Sachs Middle Market Lending Corp.,2020-10-13,False
0001509892,Garrison Capital Inc.,2020-10-28,False
0001701724,Flat Rock Capital Corp.,2020-12-02,False
0001827994,King Equity Group Inc.,2020-12-03,False
0001099941,"MVC CAPITAL, INC.",2020-12-23,False
0001550913,"MacKenzie Realty Capital, Inc.",2020-12-31,False
0001577791,Oaktree Strategic Income Corp,2021-03-19,False
0001674786,GUGGENHEIM CREDIT INCOME FUND 2021,2021-03-31,False
0001559909,Harvest Capital Credit Corp,2021-06-10,False
0001525759,FS KKR Capital Corp. II,2021-06-16,False
0001557424,"Venture Lending & Leasing VII, Inc.",2021-07-19,False
0001455656,"Rand Capital SBIC, Inc.",2021-12-30,False
0001523526,Sierra Income Corp,2022-02-25,False
0001508171,SLR Senior Investment Corp.,2022-04-01,False
0001879017,"Lafayette Square Far West BDC, Inc.",2022-06-21,False
0001879018,"Lafayette Square Gulf Coast BDC, Inc.",2022-06-21,False
0001879008,"Lafayette Square Mid-Atlantic BDC, Inc.",2022-06-21,False
0001892091,AFC BDC Inc.,2022-09-16,False
0001913721,AGTB Private BDC,2023-01-05,False
0001587987,Newtek Business Services Corp.,2023-01-06,False
0001744179,"Oaktree Strategic Income II, Inc.",2023-01-23,False
0001464963,"First Eagle Alternative Capital BDC, Inc.",2023-03-10,False
0001666384,"AG Twin Brook BDC, Inc.",2023-07-28,False
0001642862,"Venture Lending & Leasing VIII, Inc.",2023-10-12,False
0001490927,Franklin BSP Lending Corp,2024-01-24,False
0001948565,Investcorp US Institutional Private Credit Fund,2024-02-01,False
0001326003,BlackRock Capital Investment Corp,2024-03-18,False
0001715268,"Golub Capital BDC 3, Inc.",2024-06-03,False
0001825590,SL Investment Corp.,2024-07-15,False
0002022625,Nuveen Churchill Private Credit Fund,2024-12-13,False
0001781870,"New Mountain Guardian III BDC, L.L.C.",2024-12-19,False
0001807427,Blue Owl Capital Corp III,2025-01-13,False
0001617572,StHealth Capital Investment Corp,2025-01-24,False
0001889668,Blue Owl Technology Finance Corp. II,2025-03-24,False
0001851277,Carlyle Secured Lending III,2025-03-28,False
0001618697,GUGGENHEIM CREDIT INCOME FUND,2025-06-27,False
0001618694,GUGGENHEIM CREDIT INCOME FUND 2016 T,2025-06-27,False
0001618696,GUGGENHEIM CREDIT INCOME FUND 2019,2025-06-27,False
0001571329,Logan Ridge Finance Corp.,2025-07-15,False
0001922947,Wellings Real Estate Income Fund,2025-07-25,False
0001865174,Goldman Sachs Middle Market Lending Corp. II,2025-10-14,False
0002018545,Franklin BSP Real Estate Debt BDC,2025-10-20,False
0001501729,FS Specialty Lending Fund,2025-10-28,False
0001870267,Redwood Enhanced Income Corp.,2026-02-27,False
0001512931,MONROE CAPITAL Corp,2026-04-14,False
0002071136,Nuveen Churchill BDC V,2026-05-12,False
0001999538,X1 Capital Inc.,2026-06-17,False
