cik,company,n54c_date,n_10k,n_10q,n_total,n_inline_xbrl,n_xbrl_any,earliest_xbrl_year,latest_filing_date,extractable
0001606657,BUSINESS DEVELOPMENT Corp OF AMERICA II,2016-04-21,0,0,0,0,0,,,False
0001619239,"Credit Suisse Park View BDC, Inc.",2016-09-30,1,2,3,0,0,,2016-08-11,False
0001490013,Full Circle Capital Corp,2016-11-04,1,2,3,0,0,,2016-09-28,False
0001685711,Prospect Credit Corp,2016-12-08,0,0,0,0,0,,,False
0001599750,FS Energy & Power Fund II,2016-12-23,1,3,4,0,0,,2016-11-10,False
0000817473,"AMERICAN CAPITAL, LTD",2017-01-03,1,3,4,0,0,,2016-11-03,False
0000893739,180 DEGREE CAPITAL CORP. /NY/,2017-03-30,2,3,5,0,0,,2017-03-15,False
0001561528,NF Investment Corp.,2017-06-13,2,4,6,0,0,,2017-05-10,False
0001444706,"CROSSROADS CAPITAL, INC.",2017-06-23,5,4,9,0,0,,2020-05-15,False
0001482199,"Venture Lending & Leasing VI, Inc.",2017-09-14,2,5,7,0,0,,2017-08-11,False
0001609336,Griffin Capital BDC Corp.,2017-10-06,2,5,7,0,0,,2017-08-08,False
0001598893,"Integrity Capital Income Fund, Inc.",2017-11-14,2,4,6,0,6,,2017-03-17,False
0001109697,"Encounter Technologies, Inc.",2018-01-03,0,0,0,0,0,,,False
0001000209,MEDALLION FINANCIAL CORP,2018-04-02,11,31,42,24,33,2020,2026-05-05,True
0001370754,"Special Value Continuation Partners, LP",2018-08-01,3,7,10,0,0,,2018-05-09,False
0000818897,FRESHSTART VENTURE CAPITAL CORP,2018-08-07,0,0,0,0,0,,,False
0000822874,MEDALLION CAPITAL INC,2018-08-07,0,0,0,0,0,,,False
0001581934,"American Capital Senior Floating, Ltd.",2018-09-19,3,8,11,0,0,,2018-08-07,False
0001514183,"Point Capital, Inc.",2018-09-28,11,31,42,20,31,2021,2026-05-14,True
0001494538,"Corporate Capital Trust, Inc.",2019-04-02,3,9,12,0,0,,2018-11-08,False
0001627515,GOLUB CAPITAL INVESTMENT Corp,2019-09-16,2,9,11,0,0,,2019-08-13,False
0001614173,"SIGULER GUFF SMALL BUSINESS CREDIT OPPORTUNITIES FUND, INC",2019-11-04,4,11,15,0,0,,2019-08-14,False
0001617896,Corporate Capital Trust II,2019-12-18,4,12,16,0,0,,2019-11-14,False
0001579412,FS Investment Corp III,2019-12-18,4,12,16,0,0,,2019-11-14,False
0001637417,FS Investment Corp IV,2019-12-18,4,12,16,0,0,,2019-11-14,False
0001297704,OHA Investment Corp,2019-12-19,4,12,16,0,0,,2019-11-12,False
0001425355,"Mill City Ventures III, Ltd",2019-12-27,11,31,42,19,19,2021,2026-05-08,True
0001578620,Alcentra Capital Corp,2020-01-31,4,12,16,0,0,,2019-11-06,False
0001626899,"Parkview Capital Credit, Inc.",2020-04-29,4,11,15,0,0,,2019-08-14,False
0001683074,Goldman Sachs Middle Market Lending Corp.,2020-10-13,3,11,14,0,0,,2020-08-10,False
0001509892,Garrison Capital Inc.,2020-10-28,5,14,19,0,1,,2020-08-10,False
0001701724,Flat Rock Capital Corp.,2020-12-02,3,11,14,0,0,,2020-11-13,False
0001827994,King Equity Group Inc.,2020-12-03,0,0,0,0,0,,,False
0001099941,"MVC CAPITAL, INC.",2020-12-23,5,16,21,0,0,,2020-09-09,False
0001550913,"MacKenzie Realty Capital, Inc.",2020-12-31,10,32,42,19,22,2021,2026-05-15,True
0001577791,Oaktree Strategic Income Corp,2021-03-19,5,16,21,0,0,,2021-02-04,False
0001674786,GUGGENHEIM CREDIT INCOME FUND 2021,2021-03-31,1,4,5,0,0,,2020-11-16,False
0001559909,Harvest Capital Credit Corp,2021-06-10,6,16,22,0,0,,2021-05-07,False
0001525759,FS KKR Capital Corp. II,2021-06-16,6,16,22,0,0,,2021-05-10,False
0001557424,"Venture Lending & Leasing VII, Inc.",2021-07-19,6,16,22,0,0,,2021-05-13,False
0001455656,"Rand Capital SBIC, Inc.",2021-12-30,0,0,0,0,0,,,False
0001523526,Sierra Income Corp,2022-02-25,6,18,24,0,0,,2021-11-15,False
0001508171,SLR Senior Investment Corp.,2022-04-01,7,18,25,0,0,,2022-03-01,False
0001879017,"Lafayette Square Far West BDC, Inc.",2022-06-21,1,1,2,0,0,,2022-05-11,False
0001879018,"Lafayette Square Gulf Coast BDC, Inc.",2022-06-21,1,1,2,0,0,,2022-05-11,False
0001879008,"Lafayette Square Mid-Atlantic BDC, Inc.",2022-06-21,1,1,2,0,0,,2022-05-11,False
0001892091,AFC BDC Inc.,2022-09-16,0,1,1,0,0,,2022-08-12,False
0001913721,AGTB Private BDC,2023-01-05,0,2,2,0,0,,2022-11-10,False
0001587987,Newtek Business Services Corp.,2023-01-06,11,31,42,16,17,2022,2026-05-08,True
0001744179,"Oaktree Strategic Income II, Inc.",2023-01-23,5,12,17,0,0,,2022-12-14,False
0001464963,"First Eagle Alternative Capital BDC, Inc.",2023-03-10,7,21,28,1,1,2022,2022-11-08,True
0001666384,"AG Twin Brook BDC, Inc.",2023-07-28,4,11,15,3,13,2022,2023-05-12,True
0001642862,"Venture Lending & Leasing VIII, Inc.",2023-10-12,8,23,31,3,3,2023,2023-08-11,True
0001490927,Franklin BSP Lending Corp,2024-01-24,8,24,32,4,4,2023,2023-11-13,True
0001948565,Investcorp US Institutional Private Credit Fund,2024-02-01,1,2,3,3,3,2023,2023-11-13,True
0001326003,BlackRock Capital Investment Corp,2024-03-18,9,24,33,6,6,2022,2024-03-05,True
0001715268,"Golub Capital BDC 3, Inc.",2024-06-03,6,20,26,5,5,2023,2024-05-08,True
0001825590,SL Investment Corp.,2024-07-15,4,10,14,6,6,2023,2024-05-14,True
0002022625,Nuveen Churchill Private Credit Fund,2024-12-13,0,1,1,1,1,2024,2024-08-21,True
0001781870,"New Mountain Guardian III BDC, L.L.C.",2024-12-19,5,16,21,8,8,2023,2024-11-12,True
0001807427,Blue Owl Capital Corp III,2025-01-13,4,13,17,8,8,2023,2024-11-06,True
0001617572,StHealth Capital Investment Corp,2025-01-24,6,12,18,0,0,,2021-12-13,False
0001889668,Blue Owl Technology Finance Corp. II,2025-03-24,4,9,13,9,9,2023,2025-03-04,True
0001851277,Carlyle Secured Lending III,2025-03-28,3,10,13,8,8,2023,2024-11-13,True
0001618697,GUGGENHEIM CREDIT INCOME FUND,2025-06-27,10,28,38,10,10,2023,2025-05-15,True
0001618694,GUGGENHEIM CREDIT INCOME FUND 2016 T,2025-06-27,10,28,38,10,11,2023,2025-05-15,True
0001618696,GUGGENHEIM CREDIT INCOME FUND 2019,2025-06-27,10,28,38,10,11,2023,2025-05-15,True
0001571329,Logan Ridge Finance Corp.,2025-07-15,10,28,38,10,10,2023,2025-05-08,True
0001922947,Wellings Real Estate Income Fund,2025-07-25,3,9,12,10,10,2023,2025-06-30,True
0001865174,Goldman Sachs Middle Market Lending Corp. II,2025-10-14,4,11,15,11,11,2023,2025-08-12,True
